Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,59900.000000,60600.000000,59800.000000,60600.000000,59579.398438,7014160
2022-11-30,60400.000000,62200.000000,60200.000000,62200.000000,61152.453125,19768903
2022-12-01,63100.000000,63200.000000,62300.000000,62600.000000,61545.718750,16631445
2022-12-02,62500.000000,62500.000000,60400.000000,60400.000000,59382.769531,15331184
2022-12-05,60900.000000,61100.000000,60000.000000,60300.000000,59284.457031,13767787
2022-12-06,59800.000000,60100.000000,59200.000000,59200.000000,58202.976563,13888300
2022-12-07,58800.000000,59600.000000,58500.000000,58900.000000,57908.027344,12100662
2022-12-08,58700.000000,59200.000000,58600.000000,59200.000000,58202.976563,12986815
2022-12-09,59300.000000,60600.000000,59300.000000,60400.000000,59382.769531,10529632
2022-12-12,59900.000000,60000.000000,59400.000000,59500.000000,58497.929688,9036472
2022-12-13,59600.000000,60300.000000,59400.000000,59700.000000,58694.558594,9040873
2022-12-14,59800.000000,60600.000000,59800.000000,60500.000000,59481.085938,8207485
2022-12-15,59800.000000,60200.000000,59300.000000,59300.000000,58301.296875,8716039
2022-12-16,58300.000000,59500.000000,58300.000000,59500.000000,58497.929688,13033596
2022-12-19,59500.000000,59900.000000,59100.000000,59500.000000,58497.929688,7696187
2022-12-20,59000.000000,59100.000000,58500.000000,58600.000000,57613.085938,9284761
2022-12-21,58700.000000,59100.000000,58000.000000,58000.000000,57023.191406,10356971
2022-12-22,58100.000000,59100.000000,58100.000000,59100.000000,58104.664063,10720630
2022-12-23,58200.000000,58400.000000,57700.000000,58100.000000,57121.503906,9829407
2022-12-26,58000.000000,58100.000000,57700.000000,57900.000000,56924.871094,6756411
2022-12-27,58000.000000,58400.000000,57900.000000,58100.000000,57121.503906,10667027
2022-12-28,57600.000000,57600.000000,56400.000000,56600.000000,55994.687500,14665410
2022-12-29,56000.000000,56200.000000,55300.000000,55300.000000,54708.589844,11295935
2023-01-02,55500.000000,56100.000000,55200.000000,55500.000000,54906.449219,10031448
2023-01-03,55400.000000,56000.000000,54500.000000,55400.000000,54807.519531,13547030
2023-01-04,55700.000000,58000.000000,55600.000000,57800.000000,57181.851563,20188071
2023-01-05,58200.000000,58800.000000,57600.000000,58200.000000,57577.574219,15682826
2023-01-06,58300.000000,59400.000000,57900.000000,59000.000000,58369.019531,17334989
2023-01-09,59700.000000,60700.000000,59600.000000,60700.000000,60050.839844,18640107
2023-01-10,60200.000000,61100.000000,59900.000000,60400.000000,59754.046875,14859797
2023-01-11,61000.000000,61200.000000,60300.000000,60500.000000,59852.980469,12310751
2023-01-12,61100.000000,61200.000000,59900.000000,60500.000000,59852.980469,16102561
2023-01-13,60500.000000,61200.000000,60400.000000,60800.000000,60149.769531,12510328
2023-01-16,61300.000000,61600.000000,60800.000000,61100.000000,60446.558594,10039972
2023-01-17,61200.000000,61500.000000,60600.000000,61000.000000,60347.632813,9831456
2023-01-18,60700.000000,61000.000000,59900.000000,60400.000000,59754.046875,11584041
2023-01-19,60500.000000,61500.000000,60400.000000,61500.000000,60842.285156,12808490
2023-01-20,62100.000000,62300.000000,61100.000000,61800.000000,61139.074219,9646327
2023-01-25,63500.000000,63700.000000,63000.000000,63300.000000,62623.035156,39217
2023-01-26,63800.000000,63900.000000,63300.000000,63800.000000,63117.687500,54188
2023-01-27,64400.000000,65000.000000,63900.000000,64600.000000,63909.132813,44282
2023-01-30,64900.000000,64900.000000,63100.000000,63300.000000,62623.035156,59628
2023-01-31,63500.000000,63700.000000,61000.000000,61400.000000,60743.351563,163847
2023-02-01,62600.000000,62700.000000,61000.000000,61000.000000,60347.632813,98585
2023-02-02,63200.000000,63900.000000,62600.000000,63500.000000,62820.894531,65992
2023-02-03,63900.000000,64000.000000,63000.000000,63500.000000,62820.894531,47567
2023-02-06,62800.000000,63000.000000,61600.000000,61600.000000,60941.210938,144104
2023-02-07,61900.000000,62500.000000,61600.000000,62000.000000,61336.937500,32873
2023-02-08,62800.000000,63300.000000,62400.000000,63100.000000,62425.171875,42558
2023-02-09,63000.000000,63300.000000,62300.000000,63300.000000,62623.035156,48035
2023-02-10,62600.000000,63000.000000,62400.000000,62900.000000,62227.308594,44786
2023-02-13,62900.000000,63000.000000,62300.000000,62900.000000,62227.308594,59395
