Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,42450.000000,42950.000000,42150.000000,42150.000000,36764.203125,13423132
2018-11-02,43050.000000,44250.000000,42800.000000,44150.000000,38508.636719,16517112
2018-11-05,43750.000000,43800.000000,42900.000000,43800.000000,38203.371094,9426777
2018-11-06,43750.000000,43800.000000,42950.000000,43750.000000,38159.753906,7713625
2018-11-07,43600.000000,44500.000000,43400.000000,44000.000000,38377.816406,11553998
2018-11-08,44900.000000,45050.000000,44050.000000,44050.000000,38421.421875,12617397
2018-11-09,44450.000000,44850.000000,43900.000000,44300.000000,38639.480469,7318500
2018-11-12,43850.000000,45250.000000,43700.000000,45200.000000,39424.480469,8552566
2018-11-13,43900.000000,44500.000000,43400.000000,44500.000000,38813.929688,9311126
2018-11-14,44500.000000,44500.000000,43800.000000,44100.000000,38465.031250,6783344
2018-11-15,44050.000000,44350.000000,43500.000000,44250.000000,38595.871094,5864067
2018-11-16,44600.000000,44750.000000,43700.000000,44000.000000,38377.816406,7777124
2018-11-19,44050.000000,44250.000000,43450.000000,43650.000000,38072.535156,7538720
2018-11-20,42450.000000,43000.000000,42100.000000,42800.000000,37331.148438,9420664
2018-11-21,41800.000000,42300.000000,41800.000000,42100.000000,36720.585938,10769589
2018-11-22,42000.000000,42650.000000,42000.000000,42450.000000,37025.875000,5970796
2018-11-23,42450.000000,42600.000000,41900.000000,42400.000000,36982.261719,5192638
2018-11-26,42150.000000,42800.000000,42100.000000,42600.000000,37156.695313,6613009
2018-11-27,42900.000000,43100.000000,42500.000000,43050.000000,37549.195313,8367091
2018-11-28,42800.000000,43200.000000,42750.000000,43150.000000,37636.425781,6943099
2018-11-29,43850.000000,43850.000000,42900.000000,43150.000000,37636.425781,8473511
2018-11-30,43450.000000,44000.000000,41750.000000,41850.000000,36502.535156,19775519
2018-12-03,42750.000000,43400.000000,42400.000000,43250.000000,37723.648438,12110702
2018-12-04,42650.000000,42900.000000,41900.000000,42150.000000,36764.203125,14347746
2018-12-05,40900.000000,41750.000000,40850.000000,41450.000000,36153.636719,12631983
2018-12-06,40600.000000,41100.000000,40450.000000,40500.000000,35325.031250,14251826
2018-12-07,40900.000000,41400.000000,40850.000000,40950.000000,35717.531250,11433083
2018-12-10,40450.000000,40650.000000,40000.000000,40200.000000,35063.367188,14892263
2018-12-11,40600.000000,40700.000000,40200.000000,40250.000000,35106.980469,10638766
2018-12-12,40250.000000,40700.000000,40150.000000,40450.000000,35281.417969,12024279
2018-12-13,40650.000000,40750.000000,40000.000000,40000.000000,34888.921875,26254646
2018-12-14,40200.000000,40200.000000,38700.000000,38950.000000,33973.085938,19671783
2018-12-17,38650.000000,39600.000000,38650.000000,39150.000000,34147.527344,11532968
2018-12-18,38300.000000,39200.000000,38300.000000,38900.000000,33929.480469,11042101
2018-12-19,38900.000000,39350.000000,38850.000000,39100.000000,34103.914063,9942037
2018-12-20,38600.000000,39100.000000,38500.000000,38650.000000,33711.414063,11937617
2018-12-21,38200.000000,38650.000000,38100.000000,38650.000000,33711.414063,14947080
2018-12-24,38500.000000,39050.000000,38300.000000,38800.000000,33842.250000,9729530
2018-12-26,38400.000000,38750.000000,38300.000000,38350.000000,33449.750000,12707675
2018-12-27,38700.000000,38800.000000,38100.000000,38250.000000,33673.367188,10510643
2018-12-28,38250.000000,38900.000000,38200.000000,38700.000000,34069.519531,9900267
2019-01-02,39400.000000,39400.000000,38550.000000,38750.000000,34113.535156,7847664
2019-01-03,38300.000000,38550.000000,37450.000000,37600.000000,33101.136719,12471493
2019-01-04,37450.000000,37600.000000,36850.000000,37450.000000,32969.085938,14108958
2019-01-07,38000.000000,38900.000000,37800.000000,38750.000000,34113.535156,12748997
2019-01-08,38000.000000,39200.000000,37950.000000,38100.000000,33541.308594,12756554
2019-01-09,38650.000000,39600.000000,38300.000000,39600.000000,34861.832031,17452708
2019-01-10,40000.000000,40150.000000,39600.000000,39800.000000,35037.906250,14731699
2019-01-11,40350.000000,40550.000000,39950.000000,40500.000000,35654.148438,11661063
2019-01-14,40450.000000,40700.000000,39850.000000,40050.000000,35257.996094,11984996
2019-01-15,40050.000000,41100.000000,39850.000000,41100.000000,36182.359375,11492756
2019-01-16,41150.000000,41450.000000,40700.000000,41450.000000,36490.468750,8491595
2019-01-17,41700.000000,42100.000000,41450.000000,41950.000000,36930.660156,11736903
2019-01-18,42000.000000,42400.000000,41950.000000,42300.000000,37238.777344,11029256
2019-01-21,42700.000000,42750.000000,41900.000000,42750.000000,37634.941406,11355701
2019-01-22,42750.000000,42850.000000,41850.000000,42150.000000,37106.730469,9964356
2019-01-23,41350.000000,42250.000000,41350.000000,42000.000000,36974.671875,11071079
2019-01-24,43050.000000,43100.000000,42350.000000,43050.000000,37899.042969,14747623
2019-01-25,44300.000000,44750.000000,43750.000000,44750.000000,39395.636719,22789395
2019-01-28,45000.000000,45500.000000,44600.000000,45050.000000,39659.738281,17998914
2019-01-29,45050.000000,45500.000000,44350.000000,45500.000000,40055.890625,16215017
2019-01-30,44800.000000,46400.000000,44800.000000,46400.000000,40848.207031,17505980
2019-01-31,46650.000000,47050.000000,46150.000000,46150.000000,40628.125000,21621145
2019-02-01,46650.000000,46950.000000,46250.000000,46350.000000,40804.187500,13832454
2019-02-07,46800.000000,47100.000000,46200.000000,46200.000000,40672.140625,15872001
2019-02-08,45700.000000,45700.000000,44650.000000,44800.000000,39439.652344,12689196
2019-02-11,44500.000000,45000.000000,44250.000000,45000.000000,39615.718750,11125044
2019-02-12,44650.000000,46250.000000,44650.000000,46050.000000,40540.089844,13184367
2019-02-13,46400.000000,46700.000000,46000.000000,46200.000000,40672.140625,11299738
2019-02-14,46600.000000,47500.000000,46150.000000,47500.000000,41816.593750,17259341
2019-02-15,46750.000000,46850.000000,45650.000000,46050.000000,40540.089844,10554643
2019-02-18,46500.000000,46850.000000,45850.000000,46200.000000,40672.140625,8183728
2019-02-19,45850.000000,46150.000000,45450.000000,45950.000000,40452.050781,6741395
2019-02-20,46750.000000,47100.000000,46500.000000,46900.000000,41288.390625,11506720
